game_id,game_date,season,home_team_id,home_team_abbr,home_is_home,home_opponent_abbr,home_win,home_roll_win_pct,home_roll_pts,home_roll_off_rtg,home_roll_ts,home_roll_pace,home_roll_tov,home_roll_oreb,home_roll_reb,home_roll_ast,home_roll_fg3_rate,home_rest_days,home_season_win_pct,away_team_id,away_team_abbr,away_is_home,away_opponent_abbr,away_win,away_roll_win_pct,away_roll_pts,away_roll_off_rtg,away_roll_ts,away_roll_pace,away_roll_tov,away_roll_oreb,away_roll_reb,away_roll_ast,away_roll_fg3_rate,away_rest_days,away_season_win_pct,diff_roll_win_pct,diff_roll_pts,diff_roll_off_rtg,diff_roll_ts,diff_roll_pace,diff_roll_tov,diff_roll_oreb,diff_roll_reb,diff_roll_ast,diff_roll_fg3_rate,diff_rest_days,diff_season_win_pct
0022200134,2022-11-05,2022-23,1610612737,ATL,1,NOP,1,0.625,115.5,112.5469294789124,0.5643362253399801,102.725,11.625,10.625,43.75,25.875,0.3132530120481928,3.0,0.625,1610612740,NOP,0,ATL,0,0.625,117.75,115.52511872304316,0.5841484883269238,102.225,13.625,11.875,44.5,28.125,0.31326949384404923,1.0,0.625,0.0,-2.25,-2.9781892441307605,-0.01981226298694372,0.5,-2.0,-1.25,-0.75,-2.25,-1.6481795856448933e-05,2.0,0.0
0022200149,2022-11-07,2022-23,1610612737,ATL,1,MIL,1,0.6666666666666666,116.44444444444444,112.12748507287341,0.5620610502047386,103.97777777777777,11.777777777777779,10.777777777777779,44.44444444444444,26.11111111111111,0.3176470588235294,2.0,0.6666666666666666,1610612749,MIL,0,ATL,0,1.0,112.88888888888889,111.64198735570993,0.5610093690809946,101.02222222222221,14.0,12.88888888888889,51.77777777777778,24.11111111111111,0.4347290640394088,2.0,1.0,-0.33333333333333337,3.555555555555557,0.4854977171634829,0.001051681123743986,2.955555555555563,-2.2222222222222214,-2.1111111111111107,-7.333333333333336,2.0,-0.11708200521587941,0.0,-0.33333333333333337
0022200162,2022-11-09,2022-23,1610612737,ATL,1,UTA,0,0.7,116.5,111.97333769980158,0.5607948400001926,104.16,11.8,10.9,44.8,25.8,0.3150684931506849,2.0,0.7,1610612762,UTA,0,ATL,1,0.7,116.4,113.71124817469897,0.5849340512983648,102.28,15.2,11.7,43.7,26.7,0.4342541436464088,2.0,0.75,0.0,0.09999999999999432,-1.7379104748973901,-0.024139211298172203,1.8799999999999955,-3.3999999999999986,-0.7999999999999989,1.0999999999999943,-0.8999999999999986,-0.11918565049572388,0.0,-0.050000000000000044
0022200173,2022-11-10,2022-23,1610612737,ATL,1,PHI,1,0.6,116.7,111.86794373645446,0.5548869543775291,104.44000000000001,12.0,12.2,46.4,25.2,0.3119834710743802,1.0,0.6363636363636364,1610612755,PHI,0,ATL,0,0.5,108.1,112.80898740942393,0.5846449320756137,96.02,12.3,8.2,40.0,25.0,0.41586538461538464,3.0,0.45454545454545453,0.09999999999999998,8.600000000000009,-0.9410436729694709,-0.029757977698084637,8.420000000000016,-0.3000000000000007,4.0,6.399999999999999,0.1999999999999993,-0.10388191354100446,-2.0,0.18181818181818182
0022200214,2022-11-16,2022-23,1610612737,ATL,1,BOS,0,0.6,116.6,111.6846603559095,0.5545649593252853,104.58,12.4,12.3,46.9,24.3,0.2952182952182952,2.0,0.6428571428571429,1610612738,BOS,0,ATL,1,0.8,121.5,119.22768134262542,0.6197752932271618,102.28,12.6,7.6,42.8,27.6,0.4678899082568807,2.0,0.7857142857142857,-0.20000000000000007,-4.900000000000006,-7.543020986715916,-0.06521033390187658,2.299999999999997,-0.1999999999999993,4.700000000000001,4.100000000000001,-3.3000000000000007,-0.17267161303858553,0.0,-0.1428571428571428
0022200235,2022-11-19,2022-23,1610612737,ATL,1,TOR,1,0.5,113.1,108.09204321864254,0.5370737644918976,104.67999999999999,12.7,12.7,46.9,23.3,0.2971014492753623,3.0,0.6,1610612761,TOR,0,ATL,0,0.6,116.2,114.64872788411358,0.5589374542212566,101.32000000000001,13.1,14.7,43.7,23.1,0.3542116630669546,3.0,0.5625,-0.09999999999999998,-3.1000000000000085,-6.556684665471039,-0.021863689729359037,3.359999999999985,-0.40000000000000036,-2.0,3.1999999999999957,0.1999999999999993,-0.05711021379159231,0.0,0.03749999999999998
0022200263,2022-11-23,2022-23,1610612737,ATL,1,SAC,1,0.6,113.3,107.93431465080805,0.5349744195292502,104.94000000000001,12.7,12.9,47.5,23.3,0.29782833505687695,2.0,0.5882352941176471,1610612758,SAC,0,ATL,0,0.8,124.8,120.36053440948963,0.6320531737696954,103.8,13.2,7.2,39.3,28.8,0.432648401826484,1.0,0.625,-0.20000000000000007,-11.5,-12.426219758681583,-0.09707875424044521,1.1400000000000148,-0.5,5.7,8.200000000000003,-5.5,-0.13482006676960706,1.0,-0.03676470588235292
0022200293,2022-11-27,2022-23,1610612737,ATL,1,MIA,0,0.5,113.4,109.06070798688086,0.5501358724037192,103.96,13.3,11.6,44.9,21.4,0.30827067669172936,2.0,0.5789473684210527,1610612748,MIA,0,ATL,1,0.5,109.0,109.61834400908796,0.5629347914669044,99.61999999999999,13.1,10.0,41.0,23.3,0.41916859122401845,2.0,0.45,0.0,4.400000000000006,-0.557636022207106,-0.012798919063185199,4.340000000000003,0.20000000000000107,1.5999999999999996,3.8999999999999986,-1.9000000000000021,-0.11089791453228909,0.0,0.12894736842105264
0022200327,2022-12-02,2022-23,1610612737,ATL,1,DEN,1,0.4,111.8,110.40394518051671,0.5621922391515886,101.22,13.2,10.6,42.6,22.3,0.33557800224466894,2.0,0.5454545454545454,1610612743,DEN,0,ATL,0,0.6,114.0,117.44393367958082,0.5968460888987572,97.02000000000001,12.7,10.4,41.5,27.0,0.3504672897196262,2.0,0.6666666666666666,-0.19999999999999996,-2.200000000000003,-7.039988499064108,-0.034653849747168675,4.199999999999989,0.5,0.1999999999999993,1.1000000000000014,-4.699999999999999,-0.014889287474957269,0.0,-0.12121212121212122
0022200354,2022-12-05,2022-23,1610612737,ATL,1,OKC,0,0.5,112.6,112.601487713598,0.5702959477563088,100.0,12.6,10.6,42.6,22.7,0.3404494382022472,3.0,0.5652173913043478,1610612760,OKC,0,ATL,1,0.4,118.1,111.97593119548142,0.5675328561423475,105.58,14.6,12.2,44.0,23.2,0.3469387755102041,2.0,0.43478260869565216,0.09999999999999998,-5.5,0.6255565181165821,0.002763091613961266,-5.579999999999998,-2.0,-1.5999999999999996,-1.3999999999999986,-0.5,-0.006489337307956866,1.0,0.13043478260869562
