GAME_DATE_EST,GAME_SEQUENCE,GAME_ID,GAME_STATUS_ID,GAME_STATUS_TEXT,GAMECODE,HOME_TEAM_ID,VISITOR_TEAM_ID,SEASON,LIVE_PERIOD,LIVE_PC_TIME,NATL_TV_BROADCASTER_ABBREVIATION,HOME_TV_BROADCASTER_ABBREVIATION,AWAY_TV_BROADCASTER_ABBREVIATION,LIVE_PERIOD_TIME_BCAST,ARENA_NAME,WH_STATUS,WNBA_COMMISSIONER_FLAG
2026-04-21T00:00:00,1,0042500112,1,7:00 pm ET,20260421/PHIBOS,1610612738,1610612755,2025,0,,NBCSN,,,Q0 - NBCSN,TD Garden,0,0
2026-04-21T00:00:00,1,0042500112,1,7:00 pm ET,20260421/PHIBOS,1610612738,1610612755,2025,0,,Peacock,,,Q0 - Peacock,TD Garden,0,0
2026-04-21T00:00:00,2,0042500152,1,8:00 pm ET,20260421/PORSAS,1610612759,1610612757,2025,0,,NBC,,,Q0 - NBC,Frost Bank Center,0,0
2026-04-21T00:00:00,2,0042500152,1,8:00 pm ET,20260421/PORSAS,1610612759,1610612757,2025,0,,Peacock,,,Q0 - Peacock,Frost Bank Center,0,0
2026-04-21T00:00:00,3,0042500172,1,10:30 pm ET,20260421/HOULAL,1610612747,1610612745,2025,0,,NBC,,,Q0 - NBC,Crypto.com Arena,0,0
2026-04-21T00:00:00,3,0042500172,1,10:30 pm ET,20260421/HOULAL,1610612747,1610612745,2025,0,,Peacock,,,Q0 - Peacock,Crypto.com Arena,0,0
